,70<=BG<=180,BG>180,BG<70,BG>250,BG<50,LBGI,HBGI,Risk Index
adolescent#001,100.0,0.0,0.0,0.0,0.0,0.0,2.7552758979034984,2.7552758979034984
adolescent#002,100.0,0.0,0.0,0.0,0.0,0.0,3.2153271698947945,3.2153271698947945
adolescent#003,100.0,0.0,0.0,0.0,0.0,0.0,2.355066411481553,2.355066411481553
adolescent#004,100.0,0.0,0.0,0.0,0.0,0.0,2.207409613134178,2.207409613134178
adolescent#005,100.0,0.0,0.0,0.0,0.0,0.0,1.5605425126044734,1.5605425126044734
adolescent#006,100.0,0.0,0.0,0.0,0.0,0.0,1.1253028784440664,1.1253028784440664
adolescent#007,100.0,0.0,0.0,0.0,0.0,0.0,2.2635876859825643,2.2635876859825643
adolescent#008,100.0,0.0,0.0,0.0,0.0,0.0,2.158992474194025,2.158992474194025
adolescent#009,100.0,0.0,0.0,0.0,0.0,0.0,1.4494948872904858,1.4494948872904858
adolescent#010,100.0,0.0,0.0,0.0,0.0,0.0,2.2281092345685263,2.2281092345685263
adult#001,100.0,0.0,0.0,0.0,0.0,0.0,1.5109019799034997,1.5109019799034997
adult#002,100.0,0.0,0.0,0.0,0.0,0.0,1.2960417462442198,1.2960417462442198
adult#003,100.0,0.0,0.0,0.0,0.0,0.0,2.506256352585999,2.506256352585999
adult#004,100.0,0.0,0.0,0.0,0.0,0.0,2.9785916408130024,2.9785916408130024
adult#005,100.0,0.0,0.0,0.0,0.0,0.0,1.9659402308848901,1.9659402308848901
adult#006,100.0,0.0,0.0,0.0,0.0,0.0,1.2171253297619526,1.2171253297619526
adult#007,100.0,0.0,0.0,0.0,0.0,0.0,1.1808021043356502,1.1808021043356502
adult#008,100.0,0.0,0.0,0.0,0.0,0.0,2.03148717194796,2.03148717194796
adult#009,100.0,0.0,0.0,0.0,0.0,0.0,2.253779513772673,2.253779513772673
adult#010,100.0,0.0,0.0,0.0,0.0,0.0,3.274060671611316,3.274060671611316
child#001,100.0,0.0,0.0,0.0,0.0,0.0,1.7983686369044123,1.7983686369044123
child#002,100.0,0.0,0.0,0.0,0.0,0.0,2.050664402544396,2.050664402544396
child#003,100.0,0.0,0.0,0.0,0.0,0.0,1.0482943819414048,1.0482943819414048
child#004,100.0,0.0,0.0,0.0,0.0,0.0,1.037915931510302,1.037915931510302
child#005,100.0,0.0,0.0,0.0,0.0,0.0,1.4392179832961227,1.4392179832961227
child#006,100.0,0.0,0.0,0.0,0.0,0.0,1.888672514034596,1.888672514034596
child#007,100.0,0.0,0.0,0.0,0.0,0.0,1.0096227818340413,1.0096227818340413
child#008,100.0,0.0,0.0,0.0,0.0,0.0,3.063130273701455,3.063130273701455
child#009,100.0,0.0,0.0,0.0,0.0,0.0,1.378230682726285,1.378230682726285
child#010,100.0,0.0,0.0,0.0,0.0,0.0,1.292607691113576,1.292607691113576
